precinct,ward,population,estimated_vehicle_count,estimated_vehicles_per_person
1-1,1,3272.9446317109687,1496.8758987974318,0.457348371950589
1-2,1,3456.0936587308815,1797.708003553154,0.5201560435180144
1-3,1,2420.8270513138027,1272.9058043911298,0.5258144334186589
2-1,2,1994.6123683123583,917.7117635246127,0.4600952937542891
2-2,2,2276.378486380568,1310.1307560291552,0.5755329194453324
2-3,2,2861.20115063823,1736.4395818165262,0.6068918228378279
3-1,3,2399.641635041354,1419.1476455303796,0.5913998260435762
3-1A,3,1198.9635219122795,800.1895324204861,0.6674010658341204
3-2,3,2652.9476307664313,1407.3658786691417,0.5304913909146999
3-3,3,2626.4735170351187,1360.6723707382569,0.5180605712995138
4-1,4,2923.8013180676903,1694.3637083260398,0.579507129248381
4-2,4,2040.7424942628377,739.0001064979444,0.3621231530070569
4-3,4,2641.213240952305,1152.6125293664506,0.4363951049067395
5-1,5,2426.4157830979443,1211.7411060350018,0.49939549292244645
5-2,5,3820.106085155392,2066.0683278025886,0.5408405635202527
5-3,5,1315.183296449307,680.9711620790487,0.5177766201239892
5-3A,5,1028.361460146088,575.3884765190551,0.5595196813747921
6-1,6,3572.8567427311777,1640.6591902720418,0.45920094434513553
6-2,6,2367.899211791019,1262.0858639133487,0.5329981350678938
6-3,6,2577.2171730661216,1620.569761375194,0.6288060541856464
7-1,7,2481.9528747642244,1348.5218930750502,0.5433309821416954
7-2,7,2714.398353831128,1146.7038216930512,0.42245229778988863
7-3,7,823.8742287561465,386.33777815073495,0.46892810172495963
7-3A,7,780.4259324226367,597.2962504387906,0.7653464930164917
8-1,8,2920.5891388300447,1662.0589714396438,0.5690834596835643
8-2,8,3173.7498190600827,1847.5088581403509,0.5821217687182089
8-3,8,3137.703665647807,1602.8287958907608,0.5108286080163795
