election_key,election_date,election_type,contest,contest_slug,contest_order,candidate,candidate_party,candidate_order,precinct,ward,votes
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,1-1,1,3
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,1-2,1,1
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,1-3,1,6
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,2-1,2,7
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,2-2,2,3
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,2-3,2,8
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,3-1,3,2
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,3-1A,3,3
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,3-2,3,3
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,3-3,3,5
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,4-1,4,4
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,4-2,4,4
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,4-3,4,5
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,5-1,5,7
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,5-2,5,4
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,5-3,5,1
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,5-3A,5,2
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,6-1,6,6
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,6-2,6,7
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,6-3,6,7
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,7-1,7,5
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,7-2,7,7
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,7-3,7,6
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,7-3A,7,1
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,8-1,8,9
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,8-2,8,5
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,AYYADURAI and ELLIS,Independent,1,8-3,8,1
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,DE LA CRUZ and GARCIA,Socialism and Liberation,2,1-1,1,6
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,DE LA CRUZ and GARCIA,Socialism and Liberation,2,1-2,1,9
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,DE LA CRUZ and GARCIA,Socialism and Liberation,2,1-3,1,6
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,DE LA CRUZ and GARCIA,Socialism and Liberation,2,2-1,2,8
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,DE LA CRUZ and GARCIA,Socialism and Liberation,2,2-2,2,6
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,DE LA CRUZ and GARCIA,Socialism and Liberation,2,2-3,2,7
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,DE LA CRUZ and GARCIA,Socialism and Liberation,2,3-1,3,6
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,DE LA CRUZ and GARCIA,Socialism and Liberation,2,3-1A,3,4
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,DE LA CRUZ and GARCIA,Socialism and Liberation,2,3-2,3,20
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,DE LA CRUZ and GARCIA,Socialism and Liberation,2,3-3,3,5
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,DE LA CRUZ and GARCIA,Socialism and Liberation,2,4-1,4,5
malden_state_election_2024_11_05,2024-11-05,state,ELECTORS OF PRESIDENT AND VICE PRESIDENT,electors_of_president_and_vice_president,1,DE LA CRUZ and GARCIA,Socialism and Liberation,2,4-2,4,7
